dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,source_of_data,data_publicity,doi,wwf_biome
52255,SKOGSTJE,28157,Lake Skogstjern,9.63833,59.00694,58,Lacustrine,Europe,Norway,Europe,209,44,8494,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/WQ3M-E377,Temperate broadleaf and mixed forests
53119,LERVAHA,28451,Lervahå bog,11.88667,62.795,770,Bog,Europe,Norway,Europe,24,0,8381,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/CW1K-S256,Tundra
53964,IREV3,28852,Västragylet,14.88333,56.35,100,Lacustrine,Europe,Sweden,Europe,43,29,7541.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/4MDA-EC83,Temperate broadleaf and mixed forests
53966,LJUAA,28853,Ljustjärnen,14.48222,59.76,191,Lacustrine,Europe,Sweden,Europe,94,232.5,8412,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/5FFA-6509,Boreal forests/taiga
53968,STORN1,28854,Storsnasen,12.41667,63.23333,680,Bog,Europe,Sweden,Europe,71,385.5,8466,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/7N29-4S87,Tundra
53969,STE,28855,Lake Stentjärn,12.24194,63.1,987,Lacustrine,Europe,Sweden,Europe,21,260,8268,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/2ERS-RE93,Tundra
53970,STE,28855,Lake Stentjärn,12.24194,63.1,987,Lacustrine,Europe,Sweden,Europe,21,261,8272,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/EE03-QC13,Tundra
53978,VONJ,28859,Lake Vuolep Njakajaure,18.28,68.34167,409,Lacustrine,Europe,Sweden,Europe,38,-72.5,8328,17,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/TYNA-1M42,Tundra
53980,TIB,28860,Lake Tibenatus,18.69306,68.33583,580,Lacustrine,Europe,Sweden,Europe,38,230,8481,11,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/D0ZH-G276,Tundra
53986,TRY,28863,Trygåsen (II),13.33333,61.76667,565,Bog,Europe,Sweden,Europe,46,21,8064,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/1Z7X-6R10,Boreal forests/taiga
